Arrival_time,Service_duration,Time_to_abandon,Day
224.0,531.0,43200.0,1.0
570.0,119.0,43200.0,1.0
766.0,3496.0,43200.0,1.0
970.0,443.0,43200.0,1.0
1525.0,1132.0,43200.0,1.0
1699.0,28.0,43200.0,1.0
1890.0,518.0,43200.0,1.0
1906.0,436.0,43200.0,1.0
2187.0,1632.0,43200.0,1.0
2292.0,632.0,43200.0,1.0
2556.0,4064.0,43200.0,1.0
2684.0,873.0,43200.0,1.0
2953.0,1711.0,43200.0,1.0
3033.0,3078.0,43200.0,1.0
3283.0,3823.0,43200.0,1.0
3334.0,1838.0,43200.0,1.0
3346.0,3375.0,43200.0,1.0
3388.0,1375.0,43200.0,1.0
3428.0,639.0,43200.0,1.0
3884.0,369.0,43200.0,1.0
3985.0,84.0,43200.0,1.0
4601.0,653.0,43200.0,1.0
4607.0,2347.0,43200.0,1.0
4666.0,5560.0,43200.0,1.0
5593.0,1091.0,43200.0,1.0
5658.0,12301.0,43200.0,1.0
5745.0,8393.0,43200.0,1.0
5809.0,4123.0,43200.0,1.0
5813.0,750.0,43200.0,1.0
6044.0,1863.0,43200.0,1.0
6064.0,579.0,43200.0,1.0
6089.0,4358.0,43200.0,1.0
6142.0,246.0,43200.0,1.0
6209.0,567.0,43200.0,1.0
6698.0,158.0,43200.0,1.0
7141.0,7754.0,43200.0,1.0
7268.0,628.0,43200.0,1.0
7572.0,483.0,43200.0,1.0
7876.0,1053.0,43200.0,1.0
7887.0,1903.0,43200.0,1.0
7902.0,328.0,43200.0,1.0
7951.0,2103.0,43200.0,1.0
7972.0,455.0,43200.0,1.0
8034.0,4508.0,43200.0,1.0
8114.0,857.0,43200.0,1.0
8255.0,1067.0,43200.0,1.0
8434.0,5470.0,43200.0,1.0
8718.0,3979.0,43200.0,1.0
8745.0,3.0,43200.0,1.0
9062.0,85.0,43200.0,1.0
9175.0,94.0,43200.0,1.0
9396.0,3471.0,43200.0,1.0
9699.0,1658.0,43200.0,1.0
9944.0,1560.0,43200.0,1.0
10619.0,1167.0,43200.0,1.0
10724.0,624.0,43200.0,1.0
10888.0,1426.0,43200.0,1.0
11019.0,2372.0,43200.0,1.0
11041.0,70.0,43200.0,1.0
11202.0,555.0,43200.0,1.0
11319.0,585.0,43200.0,1.0
11445.0,2652.0,43200.0,1.0
11566.0,3136.0,43200.0,1.0
12171.0,473.0,43200.0,1.0
12267.0,929.0,43200.0,1.0
12291.0,977.0,43200.0,1.0
12418.0,1575.0,43200.0,1.0
12431.0,1232.0,43200.0,1.0
12708.0,1038.0,43200.0,1.0
12729.0,1040.0,43200.0,1.0
12780.0,4220.0,43200.0,1.0
13115.0,3792.0,43200.0,1.0
13380.0,401.0,43200.0,1.0
13797.0,1098.0,43200.0,1.0
14053.0,2283.0,43200.0,1.0
14434.0,708.0,43200.0,1.0
14527.0,410.0,43200.0,1.0
15699.0,967.0,43200.0,1.0
15958.0,657.0,43200.0,1.0
16193.0,6439.0,43200.0,1.0
16236.0,2050.0,43200.0,1.0
16501.0,66.0,43200.0,1.0
18606.0,1141.0,43200.0,1.0
19353.0,1230.0,43200.0,1.0
19638.0,346.0,43200.0,1.0
25853.0,95.0,43200.0,1.0
26934.0,328.0,43200.0,1.0
27488.0,248.0,43200.0,1.0
28022.0,2567.0,43200.0,1.0
28200.0,37.0,43200.0,1.0
28332.0,662.0,43200.0,1.0
28826.0,8712.0,43200.0,1.0
29013.0,2149.0,43200.0,1.0
29319.0,887.0,43200.0,1.0
29633.0,3057.0,43200.0,1.0
29951.0,919.0,43200.0,1.0
30029.0,18.0,43200.0,1.0
30287.0,3398.0,43200.0,1.0
30368.0,1727.0,43200.0,1.0
30420.0,3304.0,43200.0,1.0
30462.0,416.0,43200.0,1.0
30476.0,2838.0,43200.0,1.0
30669.0,4351.0,43200.0,1.0
31015.0,475.0,43200.0,1.0
31089.0,3142.0,43200.0,1.0
31266.0,1101.0,43200.0,1.0
31433.0,787.0,43200.0,1.0
31560.0,694.0,43200.0,1.0
31835.0,1603.0,43200.0,1.0
31851.0,3322.0,43200.0,1.0
31873.0,246.0,43200.0,1.0
31936.0,1520.0,43200.0,1.0
32830.0,473.0,43200.0,1.0
32918.0,953.0,43200.0,1.0
33275.0,5867.0,43200.0,1.0
34229.0,967.0,43200.0,1.0
34710.0,410.0,43200.0,1.0
34843.0,752.0,43200.0,1.0
34864.0,198.0,43200.0,1.0
34900.0,26.0,43200.0,1.0
34966.0,763.0,43200.0,1.0
35151.0,2186.0,43200.0,1.0
35231.0,1926.0,43200.0,1.0
35254.0,566.0,43200.0,1.0
35525.0,1045.0,43200.0,1.0
35684.0,29.0,43200.0,1.0
35796.0,655.0,43200.0,1.0
35833.0,5528.0,43200.0,1.0
35906.0,3154.0,43200.0,1.0
36276.0,788.0,43200.0,1.0
36320.0,1577.0,43200.0,1.0
36701.0,907.0,43200.0,1.0
36763.0,11.0,43200.0,1.0
36792.0,384.0,43200.0,1.0
37140.0,1516.0,43200.0,1.0
37646.0,253.0,43200.0,1.0
37726.0,2871.0,43200.0,1.0
37989.0,325.0,43200.0,1.0
38132.0,1976.0,43200.0,1.0
38166.0,81.0,43200.0,1.0
38254.0,386.0,43200.0,1.0
38360.0,5521.0,43200.0,1.0
38986.0,1223.0,43200.0,1.0
39734.0,5674.0,43200.0,1.0
39818.0,609.0,43200.0,1.0
40324.0,2425.0,43200.0,1.0
40555.0,190.0,43200.0,1.0
41421.0,3432.0,43200.0,1.0
41628.0,2169.0,43200.0,1.0
41905.0,169.0,43200.0,1.0
42010.0,230.0,43200.0,1.0
42089.0,328.0,43200.0,1.0
42390.0,4771.0,43200.0,1.0
42507.0,1260.0,43200.0,1.0
42622.0,1809.0,43200.0,1.0
42822.0,1119.0,43200.0,1.0
128.0,533.0,43200.0,2.0
449.0,1057.0,43200.0,2.0
628.0,1462.0,43200.0,2.0
1543.0,4277.0,43200.0,2.0
2523.0,28.0,43200.0,2.0
2550.0,1252.0,43200.0,2.0
2572.0,132.0,43200.0,2.0
2856.0,4854.0,43200.0,2.0
2949.0,393.0,43200.0,2.0
3469.0,1566.0,43200.0,2.0
3554.0,1855.0,43200.0,2.0
3711.0,1219.0,43200.0,2.0
4547.0,2514.0,43200.0,2.0
4776.0,108.0,43200.0,2.0
4953.0,3134.0,43200.0,2.0
4998.0,591.0,43200.0,2.0
5028.0,364.0,43200.0,2.0
5179.0,4199.0,43200.0,2.0
5563.0,215.0,43200.0,2.0
5742.0,419.0,43200.0,2.0
5850.0,562.0,43200.0,2.0
5883.0,328.0,43200.0,2.0
5888.0,745.0,43200.0,2.0
5914.0,439.0,43200.0,2.0
6048.0,422.0,43200.0,2.0
6068.0,189.0,43200.0,2.0
6341.0,99.0,43200.0,2.0
6435.0,781.0,43200.0,2.0
6471.0,1317.0,43200.0,2.0
6617.0,844.0,43200.0,2.0
6830.0,818.0,43200.0,2.0
7043.0,2389.0,43200.0,2.0
7051.0,4071.0,43200.0,2.0
7225.0,134.0,43200.0,2.0
7481.0,1719.0,43200.0,2.0
7490.0,865.0,43200.0,2.0
7650.0,571.0,43200.0,2.0
7729.0,472.0,43200.0,2.0
8250.0,1266.0,43200.0,2.0
8587.0,2891.0,43200.0,2.0
8611.0,932.0,43200.0,2.0
9281.0,2573.0,43200.0,2.0
9646.0,1059.0,43200.0,2.0
9937.0,888.0,43200.0,2.0
10335.0,437.0,43200.0,2.0
10342.0,2073.0,43200.0,2.0
10454.0,770.0,43200.0,2.0
10489.0,3236.0,43200.0,2.0
10676.0,5084.0,43200.0,2.0
10798.0,2526.0,43200.0,2.0
10801.0,741.0,43200.0,2.0
11454.0,326.0,43200.0,2.0
11734.0,1972.0,43200.0,2.0
11791.0,314.0,43200.0,2.0
11799.0,155.0,43200.0,2.0
12004.0,1407.0,43200.0,2.0
12048.0,4188.0,43200.0,2.0
12119.0,445.0,43200.0,2.0
12319.0,123.0,43200.0,2.0
12329.0,2403.0,43200.0,2.0
12386.0,9002.0,43200.0,2.0
12412.0,188.0,43200.0,2.0
13234.0,2364.0,43200.0,2.0
13524.0,2062.0,43200.0,2.0
13550.0,95.0,43200.0,2.0
13861.0,6322.0,43200.0,2.0
14874.0,240.0,43200.0,2.0
14956.0,88.0,43200.0,2.0
14958.0,1692.0,43200.0,2.0
15599.0,360.0,43200.0,2.0
16722.0,77.0,43200.0,2.0
18595.0,1175.0,43200.0,2.0
20422.0,2911.0,43200.0,2.0
31705.0,3037.0,43200.0,2.0
31868.0,482.0,43200.0,2.0
31942.0,43.0,43200.0,2.0
32084.0,718.0,43200.0,2.0
32490.0,2169.0,43200.0,2.0
32834.0,706.0,43200.0,2.0
32867.0,566.0,43200.0,2.0
33143.0,120.0,43200.0,2.0
33167.0,366.0,43200.0,2.0
33375.0,3531.0,43200.0,2.0
33467.0,97.0,43200.0,2.0
33496.0,7973.0,43200.0,2.0
33849.0,378.0,43200.0,2.0
34529.0,1184.0,43200.0,2.0
34737.0,413.0,43200.0,2.0
35030.0,258.0,43200.0,2.0
35100.0,953.0,43200.0,2.0
35531.0,969.0,43200.0,2.0
35565.0,2549.0,43200.0,2.0
35850.0,257.0,43200.0,2.0
35985.0,167.0,43200.0,2.0
36498.0,128.0,43200.0,2.0
36508.0,1231.0,43200.0,2.0
36536.0,58.0,43200.0,2.0
36729.0,3834.0,43200.0,2.0
36733.0,2050.0,43200.0,2.0
36742.0,2312.0,43200.0,2.0
36983.0,1413.0,43200.0,2.0
37163.0,2108.0,43200.0,2.0
37400.0,202.0,43200.0,2.0
37878.0,243.0,43200.0,2.0
38026.0,1848.0,43200.0,2.0
38074.0,4431.0,43200.0,2.0
38218.0,1559.0,43200.0,2.0
38268.0,683.0,43200.0,2.0
38314.0,607.0,43200.0,2.0
39011.0,1026.0,43200.0,2.0
39112.0,3906.0,43200.0,2.0
39155.0,2723.0,43200.0,2.0
39520.0,518.0,43200.0,2.0
39798.0,1439.0,43200.0,2.0
40111.0,2103.0,43200.0,2.0
40144.0,987.0,43200.0,2.0
41152.0,371.0,43200.0,2.0
42037.0,1239.0,43200.0,2.0
42354.0,5912.0,43200.0,2.0
42584.0,929.0,43200.0,2.0
43158.0,1501.0,43200.0,2.0
19.0,186.0,43200.0,3.0
545.0,1280.0,43200.0,3.0
813.0,2220.0,43200.0,3.0
1285.0,108.0,43200.0,3.0
1367.0,6.0,43200.0,3.0
1543.0,1439.0,43200.0,3.0
1662.0,3879.0,43200.0,3.0
1945.0,1767.0,43200.0,3.0
1981.0,862.0,43200.0,3.0
2044.0,682.0,43200.0,3.0
2127.0,8950.0,43200.0,3.0
2449.0,5348.0,43200.0,3.0
2725.0,1763.0,43200.0,3.0
2929.0,1673.0,43200.0,3.0
3028.0,2708.0,43200.0,3.0
3819.0,3259.0,43200.0,3.0
4101.0,1325.0,43200.0,3.0
4531.0,2179.0,43200.0,3.0
4580.0,382.0,43200.0,3.0
5064.0,523.0,43200.0,3.0
5143.0,1272.0,43200.0,3.0
5286.0,64.0,43200.0,3.0
5355.0,1894.0,43200.0,3.0
5532.0,6699.0,43200.0,3.0
5632.0,3584.0,43200.0,3.0
5824.0,1786.0,43200.0,3.0
6439.0,622.0,43200.0,3.0
6563.0,2020.0,43200.0,3.0
6917.0,2080.0,43200.0,3.0
6946.0,544.0,43200.0,3.0
7183.0,4379.0,43200.0,3.0
7330.0,2790.0,43200.0,3.0
7484.0,2325.0,43200.0,3.0
7646.0,1288.0,43200.0,3.0
7796.0,3619.0,43200.0,3.0
7842.0,1409.0,43200.0,3.0
8020.0,641.0,43200.0,3.0
8070.0,511.0,43200.0,3.0
8200.0,1649.0,43200.0,3.0
8234.0,380.0,43200.0,3.0
8496.0,496.0,43200.0,3.0
8498.0,1459.0,43200.0,3.0
8517.0,4737.0,43200.0,3.0
8593.0,1760.0,43200.0,3.0
8806.0,381.0,43200.0,3.0
9146.0,177.0,43200.0,3.0
9159.0,940.0,43200.0,3.0
9267.0,1357.0,43200.0,3.0
9379.0,4371.0,43200.0,3.0
9568.0,264.0,43200.0,3.0
9609.0,1143.0,43200.0,3.0
9970.0,164.0,43200.0,3.0
10193.0,1716.0,43200.0,3.0
10651.0,2358.0,43200.0,3.0
10762.0,1885.0,43200.0,3.0
11383.0,344.0,43200.0,3.0
11507.0,566.0,43200.0,3.0
11636.0,3099.0,43200.0,3.0
